🔴,1,symbols,Sun,23:59:59,481,toulouse
😂,1,people,Sun,23:59:57,230,toulouse
😂,1,people,Sun,23:59:55,284,toulouse
,0,,Sun,23:59:54,192,toulouse
,0,,Sun,23:59:54,540,toulouse
,0,,Sun,23:59:53,29,toulouse
😂,1,people,Sun,23:59:43,1766,toulouse
,0,,Sun,23:59:43,89,toulouse
,0,,Sun,23:59:41,163,toulouse
💜😍,2,symbols people,Sun,23:59:37,509,toulouse
😂,1,people,Sun,23:59:29,264,toulouse
😔,1,people,Sun,23:59:24,224,toulouse
😭,1,people,Sun,23:59:10,842,toulouse
🔴,1,symbols,Sun,23:59:09,1168,toulouse
🔴,1,symbols,Sun,23:59:03,1280,toulouse
😭,1,people,Sun,23:58:54,366,toulouse
😂,1,people,Sun,23:58:46,284,toulouse
😂,1,people,Sun,23:58:42,213,toulouse
😂,1,people,Sun,23:58:40,2228,toulouse
😭,1,people,Sun,23:58:39,1144,toulouse
,0,,Sun,23:58:34,2351,toulouse
,0,,Sun,23:58:33,290,toulouse
,0,,Sun,23:58:32,94,toulouse
😂😭,2,people people,Sun,23:58:32,716,toulouse
,0,,Sun,23:58:25,429,toulouse
🔴,1,symbols,Sun,23:58:24,541,toulouse
🙄,1,people,Sun,23:58:10,284,toulouse
,0,,Sun,23:58:05,0,toulouse
,0,,Sun,23:58:01,73,toulouse
,0,,Sun,23:57:58,180,toulouse
👊,1,people,Sun,23:57:51,230,toulouse
💜😍,2,symbols people,Sun,23:57:47,842,toulouse
😭,1,people,Sun,23:57:45,178,toulouse
,0,,Sun,23:57:32,224,toulouse
🙄,1,people,Sun,23:57:32,869,toulouse
,0,,Sun,23:57:28,284,toulouse
,0,,Sun,23:57:21,230,toulouse
😂😭,2,people people,Sun,23:57:17,284,toulouse
😻,1,people,Sun,23:57:00,238,toulouse
,0,,Sun,23:56:59,540,toulouse
,0,,Sun,23:56:54,0,toulouse
,0,,Sun,23:56:52,284,toulouse
,0,,Sun,23:56:48,79,toulouse
🔴,1,symbols,Sun,23:56:38,449,toulouse
,0,,Sun,23:56:33,869,toulouse
😂,1,people,Sun,23:56:29,290,toulouse
,0,,Sun,23:56:28,540,toulouse
,0,,Sun,23:56:25,57,toulouse
🔴,1,symbols,Sun,23:56:18,464,toulouse
🤗,1,people,Sun,23:55:56,473,toulouse
,0,,Sun,23:55:51,224,toulouse
🙄,1,people,Sun,23:55:44,1766,toulouse
😂🙄,2,people people,Sun,23:55:43,1766,toulouse
,0,,Sun,23:55:42,903,toulouse
,0,,Sun,23:55:39,424,toulouse
,0,,Sun,23:55:38,213,toulouse
🔴,1,symbols,Sun,23:55:34,606,toulouse
,0,,Sun,23:55:34,869,toulouse
,0,,Sun,23:55:33,198,toulouse
,0,,Sun,23:55:32,6,toulouse
🆘💏😱😍🎶,5,symbols people people people symbols,Sun,23:55:29,35,toulouse
,0,,Sun,23:55:27,283,toulouse
,0,,Sun,23:55:22,109,toulouse
😌,1,people,Sun,23:55:21,2228,toulouse
😉😂,2,people people,Sun,23:55:21,230,toulouse
,0,,Sun,23:55:19,2901,toulouse
,0,,Sun,23:55:18,116,toulouse
🏼🙋,2,modifier people,Sun,23:55:12,83,toulouse
,0,,Sun,23:55:07,221,toulouse
,0,,Sun,23:55:03,611,toulouse
🙄,1,people,Sun,23:54:55,284,toulouse
🤗,1,people,Sun,23:54:53,83,toulouse
,0,,Sun,23:54:51,91,toulouse
,0,,Sun,23:54:49,198,toulouse
😪💔,2,people symbols,Sun,23:54:41,221,toulouse
,0,,Sun,23:54:29,3009,toulouse
,0,,Sun,23:54:25,198,toulouse
,0,,Sun,23:54:22,1101,toulouse
,0,,Sun,23:54:22,74,toulouse
😂🙄,2,people people,Sun,23:54:20,284,toulouse
😒,1,people,Sun,23:54:18,177,toulouse
,0,,Sun,23:54:17,122,toulouse
🤗,1,people,Sun,23:54:16,83,toulouse
,0,,Sun,23:54:16,264,toulouse
,0,,Sun,23:54:04,1411,toulouse
,0,,Sun,23:54:02,210,toulouse
😭,1,people,Sun,23:54:01,284,toulouse
,0,,Sun,23:53:59,314,toulouse
🔴,1,symbols,Sun,23:53:53,1073,toulouse
,0,,Sun,23:53:47,230,toulouse
😂,1,people,Tue,23:59:57,487,toulouse
,0,,Tue,23:59:55,1175,toulouse
,0,,Tue,23:59:41,869,toulouse
😌🙄,2,people people,Tue,23:59:30,473,toulouse
😂,1,people,Tue,23:59:28,487,toulouse
😟,1,people,Tue,23:59:28,221,toulouse
